,discharge,datetime
501,124.20412,1902-05-17
502,134.42911,1902-05-18
503,129.95177,1902-05-19
504,131.31007,1902-05-20
505,130.2492,1902-05-21
506,122.375465,1902-05-22
507,116.278206,1902-05-23
508,111.12182,1902-05-24
509,124.09093,1902-05-25
510,139.59126,1902-05-26
511,135.67293,1902-05-27
512,127.21713,1902-05-28
513,124.8258,1902-05-29
514,121.01463,1902-05-30
515,110.39138,1902-05-31
516,101.223335,1902-06-01
517,93.50411,1902-06-02
518,87.087326,1902-06-03
519,81.900185,1902-06-04
520,89.84358,1902-06-05
521,97.88655,1902-06-06
522,98.506424,1902-06-07
523,104.70995,1902-06-08
524,114.130165,1902-06-09
525,128.06918,1902-06-10
526,143.40047,1902-06-11
527,149.97661,1902-06-12
528,144.96968,1902-06-13
529,134.56932,1902-06-14
530,121.44887,1902-06-15
531,123.144516,1902-06-16
532,158.26157,1902-06-17
533,210.23718,1902-06-18
534,218.69954,1902-06-19
535,189.92097,1902-06-20
536,157.42198,1902-06-21
537,131.20479,1902-06-22
538,112.31726,1902-06-23
539,99.54931,1902-06-24
540,90.66522,1902-06-25
541,83.81126,1902-06-26
542,78.05786,1902-06-27
543,73.13976,1902-06-28
544,68.86437,1902-06-29
545,64.28264,1902-06-30
546,61.010284,1902-07-01
547,57.274826,1902-07-02
548,55.21537,1902-07-03
549,53.721092,1902-07-04
550,52.446354,1902-07-05
551,51.239212,1902-07-06
552,50.051857,1902-07-07
553,48.30217,1902-07-08
554,46.218636,1902-07-09
555,45.308876,1902-07-10
556,46.87395,1902-07-11
557,49.867973,1902-07-12
558,51.814087,1902-07-13
559,51.95129,1902-07-14
560,50.744225,1902-07-15
561,48.83756,1902-07-16
562,45.948208,1902-07-17
563,42.115505,1902-07-18
564,48.33182,1902-07-19
565,116.92051,1902-07-20
566,457.4831,1902-07-21
567,692.21783,1902-07-22
568,494.27856,1902-07-23
569,313.10657,1902-07-24
570,208.52107,1902-07-25
571,180.63873,1902-07-26
572,218.10458,1902-07-27
573,245.62358,1902-07-28
574,221.92213,1902-07-29
575,217.45424,1902-07-30
576,247.03416,1902-07-31
577,247.76187,1902-08-01
578,231.62607,1902-08-02
579,466.6171,1902-08-03
580,904.0298,1902-08-04
581,691.5651,1902-08-05
582,431.66312,1902-08-06
583,331.51096,1902-08-07
584,284.6361,1902-08-08
585,229.98155,1902-08-09
586,189.19131,1902-08-10
