,discharge,datetime
368,2368.1216,1902-01-04
369,2355.801,1902-01-05
370,2276.0613,1902-01-06
371,2197.548,1902-01-07
372,2136.6147,1902-01-08
373,2100.357,1902-01-09
374,2080.9004,1902-01-10
375,2071.0422,1902-01-11
376,2058.2065,1902-01-12
377,2029.9792,1902-01-13
378,1994.3602,1902-01-14
379,1957.6536,1902-01-15
380,1921.6167,1902-01-16
381,1891.3134,1902-01-17
382,1870.4646,1902-01-18
383,1857.8453,1902-01-19
384,1848.7671,1902-01-20
385,1839.0391,1902-01-21
386,1827.1049,1902-01-22
387,1813.3589,1902-01-23
388,1798.3246,1902-01-24
389,1781.9606,1902-01-25
390,1764.6873,1902-01-26
391,1747.7489,1902-01-27
392,1747.3649,1902-01-28
393,1795.7135,1902-01-29
394,1894.4473,1902-01-30
395,2029.1143,1902-01-31
396,2134.3997,1902-02-01
397,2176.7517,1902-02-02
398,2167.6125,1902-02-03
399,2135.0977,1902-02-04
400,2097.3552,1902-02-05
401,2060.1611,1902-02-06
402,2029.5089,1902-02-07
403,2073.5479,1902-02-08
404,2207.8477,1902-02-09
405,2350.4797,1902-02-10
406,2415.0762,1902-02-11
407,2401.5767,1902-02-12
408,2399.6929,1902-02-13
409,2403.173,1902-02-14
410,2321.1729,1902-02-15
411,2231.7236,1902-02-16
412,2153.5925,1902-02-17
413,2089.463,1902-02-18
414,2040.0907,1902-02-19
415,2002.5846,1902-02-20
416,1972.0741,1902-02-21
417,1944.989,1902-02-22
418,1920.3772,1902-02-23
419,1898.6306,1902-02-24
420,1879.9524,1902-02-25
421,1866.7726,1902-02-26
422,1902.231,1902-02-27
423,2058.5437,1902-02-28
424,2180.5024,1902-03-01
425,2180.8608,1902-03-02
426,2114.5027,1902-03-03
427,2048.8164,1902-03-04
428,2004.6598,1902-03-05
429,1978.9878,1902-03-06
430,1962.0634,1902-03-07
431,1947.5006,1902-03-08
432,1932.7933,1902-03-09
433,1917.3267,1902-03-10
434,1902.4392,1902-03-11
435,1889.4576,1902-03-12
436,1877.3611,1902-03-13
437,1864.5483,1902-03-14
438,1865.1738,1902-03-15
439,1877.7238,1902-03-16
440,1863.8024,1902-03-17
441,1849.7836,1902-03-18
442,1838.523,1902-03-19
443,1853.4885,1902-03-20
444,1931.2225,1902-03-21
445,2023.018,1902-03-22
446,2051.4878,1902-03-23
447,2039.2728,1902-03-24
448,2065.912,1902-03-25
449,2118.1968,1902-03-26
450,2083.6997,1902-03-27
451,2044.5824,1902-03-28
452,2046.4652,1902-03-29
453,2058.8357,1902-03-30
454,2055.8691,1902-03-31
455,2099.9695,1902-04-01
456,2131.7153,1902-04-02
457,2124.0142,1902-04-03
458,2111.1433,1902-04-04
459,2103.7717,1902-04-05
460,2111.4243,1902-04-06
461,2143.668,1902-04-07
462,2190.472,1902-04-08
463,2219.1965,1902-04-09
464,2218.5312,1902-04-10
465,2173.4722,1902-04-11
466,2089.7275,1902-04-12
467,2007.2413,1902-04-13
468,1946.3798,1902-04-14
469,1898.2628,1902-04-15
470,1842.9326,1902-04-16
471,1806.3287,1902-04-17
472,1787.422,1902-04-18
473,1789.4996,1902-04-19
474,1812.9211,1902-04-20
475,1838.5769,1902-04-21
476,1903.6313,1902-04-22
477,1961.9033,1902-04-23
478,2003.0748,1902-04-24
479,2046.2184,1902-04-25
480,2113.6084,1902-04-26
481,2197.4946,1902-04-27
482,2268.5713,1902-04-28
483,2302.422,1902-04-29
484,2294.6897,1902-04-30
485,2271.8345,1902-05-01
486,2232.893,1902-05-02
487,2166.8079,1902-05-03
488,2179.165,1902-05-04
489,2213.015,1902-05-05
490,2185.1584,1902-05-06
491,2171.1262,1902-05-07
492,2126.2473,1902-05-08
493,2045.8585,1902-05-09
494,1960.5767,1902-05-10
495,1892.4634,1902-05-11
496,1850.0591,1902-05-12
497,1829.7241,1902-05-13
498,1820.8203,1902-05-14
499,1800.7598,1902-05-15
500,1802.8094,1902-05-16
501,1907.8905,1902-05-17
502,2084.0251,1902-05-18
503,2200.6228,1902-05-19
504,2230.6477,1902-05-20
505,2243.7505,1902-05-21
506,2212.0496,1902-05-22
507,2155.3872,1902-05-23
508,2084.6313,1902-05-24
509,2015.7937,1902-05-25
510,1956.4136,1902-05-26
511,1919.9537,1902-05-27
512,1904.655,1902-05-28
513,1958.6984,1902-05-29
514,2012.7716,1902-05-30
515,1994.7983,1902-05-31
516,1992.2379,1902-06-01
517,2027.6787,1902-06-02
518,2086.8462,1902-06-03
519,2168.09,1902-06-04
520,2289.1643,1902-06-05
521,2484.9492,1902-06-06
522,2706.7295,1902-06-07
523,2899.8708,1902-06-08
524,2983.4866,1902-06-09
525,3018.0312,1902-06-10
526,3087.5334,1902-06-11
527,3126.7249,1902-06-12
528,3109.8594,1902-06-13
529,3044.8782,1902-06-14
530,2948.4316,1902-06-15
531,2843.3208,1902-06-16
532,2744.797,1902-06-17
533,2671.7788,1902-06-18
534,2631.6392,1902-06-19
535,2619.967,1902-06-20
536,2711.3655,1902-06-21
537,2861.9688,1902-06-22
538,2921.3577,1902-06-23
539,2882.783,1902-06-24
540,2777.9,1902-06-25
541,2665.5754,1902-06-26
542,2574.3674,1902-06-27
543,2506.143,1902-06-28
544,2451.7441,1902-06-29
545,2404.256,1902-06-30
546,2359.915,1902-07-01
547,2317.1367,1902-07-02
548,2277.967,1902-07-03
549,2258.6416,1902-07-04
550,2267.4668,1902-07-05
551,2289.9006,1902-07-06
552,2308.32,1902-07-07
553,2275.9182,1902-07-08
554,2362.2126,1902-07-09
555,2386.2278,1902-07-10
556,2430.453,1902-07-11
557,2456.2468,1902-07-12
558,2476.6072,1902-07-13
559,2487.561,1902-07-14
560,2476.0496,1902-07-15
561,2433.845,1902-07-16
562,2323.076,1902-07-17
563,2094.0364,1902-07-18
564,1846.9626,1902-07-19
565,1763.0531,1902-07-20
566,1783.3374,1902-07-21
567,2021.404,1902-07-22
568,2434.263,1902-07-23
569,2835.09,1902-07-24
570,3017.6707,1902-07-25
571,3018.1316,1902-07-26
572,3158.4404,1902-07-27
573,3425.7556,1902-07-28
574,3251.3103,1902-07-29
575,3019.0273,1902-07-30
576,2835.977,1902-07-31
577,2740.1494,1902-08-01
578,2717.1907,1902-08-02
579,2873.7341,1902-08-03
580,3248.1975,1902-08-04
581,3496.0005,1902-08-05
582,3704.7012,1902-08-06
583,3827.8738,1902-08-07
584,3940.9658,1902-08-08
585,3984.5322,1902-08-09
586,3895.2166,1902-08-10
587,3737.5464,1902-08-11
588,3495.0103,1902-08-12
589,3201.6191,1902-08-13
590,2933.2612,1902-08-14
591,2703.6077,1902-08-15
592,2528.9436,1902-08-16
593,2438.4543,1902-08-17
594,2436.85,1902-08-18
595,2529.357,1902-08-19
596,2550.1648,1902-08-20
597,2401.1575,1902-08-21
598,2200.6519,1902-08-22
