,discharge,datetime
406,2580.0015,1902-02-11
407,2551.4912,1902-02-12
408,2525.3638,1902-02-13
409,2502.7087,1902-02-14
410,2401.948,1902-02-15
411,2305.9692,1902-02-16
412,2231.7368,1902-02-17
413,2178.5115,1902-02-18
414,2143.7039,1902-02-19
415,2120.6384,1902-02-20
416,2101.153,1902-02-21
417,2080.426,1902-02-22
418,2057.703,1902-02-23
419,2033.7224,1902-02-24
420,2008.7587,1902-02-25
421,1985.7238,1902-02-26
422,2009.5845,1902-02-27
423,2153.1333,1902-02-28
424,2253.8877,1902-03-01
425,2229.4236,1902-03-02
426,2143.6946,1902-03-03
427,2065.75,1902-03-04
428,2014.92,1902-03-05
429,1986.0885,1902-03-06
430,1968.9,1902-03-07
431,1956.3202,1902-03-08
432,1944.3822,1902-03-09
433,1930.6686,1902-03-10
434,1915.3656,1902-03-11
435,1899.343,1902-03-12
436,1881.254,1902-03-13
437,1859.1031,1902-03-14
438,1846.0892,1902-03-15
439,1840.9392,1902-03-16
440,1808.529,1902-03-17
441,1776.3706,1902-03-18
442,1750.2722,1902-03-19
443,1753.5588,1902-03-20
444,1818.8796,1902-03-21
445,1897.0688,1902-03-22
446,1910.4309,1902-03-23
447,1883.2915,1902-03-24
448,1896.7654,1902-03-25
449,1944.1407,1902-03-26
450,1925.8004,1902-03-27
451,1915.091,1902-03-28
452,1947.545,1902-03-29
453,1981.8055,1902-03-30
454,1986.643,1902-03-31
455,2024.9358,1902-04-01
456,2048.9707,1902-04-02
457,2040.294,1902-04-03
458,2034.3625,1902-04-04
459,2037.8431,1902-04-05
460,2051.7686,1902-04-06
461,2080.33,1902-04-07
462,2119.4316,1902-04-08
463,2147.287,1902-04-09
464,2157.677,1902-04-10
465,2135.9958,1902-04-11
466,2083.6729,1902-04-12
467,2032.7339,1902-04-13
468,1998.2863,1902-04-14
469,1974.0226,1902-04-15
470,1955.514,1902-04-16
471,1995.4137,1902-04-17
472,2118.5369,1902-04-18
473,2333.1245,1902-04-19
474,2595.8018,1902-04-20
475,2795.325,1902-04-21
476,2921.8035,1902-04-22
477,2959.765,1902-04-23
478,2971.9878,1902-04-24
479,3004.8557,1902-04-25
480,3071.0872,1902-04-26
481,3150.07,1902-04-27
482,3200.9536,1902-04-28
483,3180.4722,1902-04-29
484,3079.5457,1902-04-30
485,2939.2656,1902-05-01
486,2774.207,1902-05-02
487,2595.1553,1902-05-03
488,2527.399,1902-05-04
489,2513.7666,1902-05-05
490,2467.0269,1902-05-06
491,2442.043,1902-05-07
492,2387.7363,1902-05-08
493,2298.936,1902-05-09
494,2206.403,1902-05-10
495,2129.2195,1902-05-11
496,2066.531,1902-05-12
497,2005.9352,1902-05-13
498,1931.6777,1902-05-14
499,1823.7969,1902-05-15
500,1733.0488,1902-05-16
501,1753.235,1902-05-17
502,1874.8724,1902-05-18
503,1982.34,1902-05-19
504,2042.8522,1902-05-20
505,2109.9468,1902-05-21
506,2148.1885,1902-05-22
507,2151.8115,1902-05-23
508,2114.524,1902-05-24
509,2053.4185,1902-05-25
510,1985.8472,1902-05-26
511,1937.145,1902-05-27
512,1910.1136,1902-05-28
513,1952.1715,1902-05-29
514,1991.2487,1902-05-30
515,1952.2474,1902-05-31
516,1914.4124,1902-06-01
517,1910.8986,1902-06-02
518,1957.3148,1902-06-03
519,2095.5564,1902-06-04
520,2376.08,1902-06-05
521,2850.1047,1902-06-06
522,3384.288,1902-06-07
523,3769.0786,1902-06-08
524,3867.7778,1902-06-09
525,3755.8064,1902-06-10
526,3595.7266,1902-06-11
527,3411.7236,1902-06-12
528,3239.01,1902-06-13
529,3088.8708,1902-06-14
530,2950.1865,1902-06-15
531,2817.5945,1902-06-16
532,2691.8975,1902-06-17
533,2572.5396,1902-06-18
534,2435.9966,1902-06-19
535,2286.067,1902-06-20
536,2219.914,1902-06-21
537,2215.925,1902-06-22
538,2176.8992,1902-06-23
539,2110.5066,1902-06-24
540,2008.3761,1902-06-25
541,1888.2346,1902-06-26
542,1760.5957,1902-06-27
543,1631.1505,1902-06-28
544,1508.4912,1902-06-29
545,1399.1838,1902-06-30
546,1305.1195,1902-07-01
547,1222.9863,1902-07-02
548,1148.3563,1902-07-03
549,1082.1348,1902-07-04
550,1028.3533,1902-07-05
551,984.3852,1902-07-06
552,943.01294,1902-07-07
553,867.5256,1902-07-08
554,862.7445,1902-07-09
555,865.9749,1902-07-10
556,846.79193,1902-07-11
557,800.3363,1902-07-12
558,755.3513,1902-07-13
559,717.5101,1902-07-14
560,687.1095,1902-07-15
561,664.54,1902-07-16
562,622.77295,1902-07-17
563,598.52295,1902-07-18
564,578.64954,1902-07-19
565,522.1767,1902-07-20
566,561.3352,1902-07-21
567,629.59845,1902-07-22
568,761.2068,1902-07-23
569,1008.9487,1902-07-24
570,1309.1991,1902-07-25
571,1536.6221,1902-07-26
572,1762.6519,1902-07-27
573,2080.821,1902-07-28
574,2013.5724,1902-07-29
575,1873.7213,1902-07-30
576,1765.54,1902-07-31
577,1712.2325,1902-08-01
578,1699.8589,1902-08-02
579,1836.6735,1902-08-03
580,2187.2842,1902-08-04
581,2507.9534,1902-08-05
582,2913.5398,1902-08-06
583,3287.9023,1902-08-07
584,3549.78,1902-08-08
585,3625.6492,1902-08-09
586,3505.3286,1902-08-10
587,3314.103,1902-08-11
588,3052.972,1902-08-12
589,2751.8923,1902-08-13
590,2469.1409,1902-08-14
591,2213.5618,1902-08-15
592,1998.7328,1902-08-16
593,1871.0515,1902-08-17
594,1864.9684,1902-08-18
595,2024.3015,1902-08-19
596,2192.4075,1902-08-20
597,2189.974,1902-08-21
598,2062.5962,1902-08-22
599,1904.3704,1902-08-23
600,1745.6261,1902-08-24
601,1590.0065,1902-08-25
602,1443.1825,1902-08-26
603,1323.836,1902-08-27
604,1248.6172,1902-08-28
605,1215.8632,1902-08-29
606,1277.6753,1902-08-30
607,1398.2084,1902-08-31
608,1465.7866,1902-09-01
609,1505.9117,1902-09-02
610,1510.3085,1902-09-03
611,1544.5349,1902-09-04
612,1612.8807,1902-09-05
613,1631.6511,1902-09-06
614,1649.8481,1902-09-07
615,1674.2833,1902-09-08
616,1697.5687,1902-09-09
617,1726.668,1902-09-10
618,1757.144,1902-09-11
619,1808.3921,1902-09-12
620,1964.169,1902-09-13
621,2069.8103,1902-09-14
622,2084.8145,1902-09-15
623,2042.4626,1902-09-16
